committee_type,sub_committe,name,role,organization,country
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jacintha Menezes,,Majan University College,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jimmy Katiyar,,SiriusXM Inc.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,JITESH SREEDHARAN NAMBIAR,,GOOGLE INC.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Junaid Syed,, Georgia Institute of Technology,USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jyotheeswara Reddy GottamÂ,,Walmart Global Technology,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jyothiprakash Reddy Thukivakam,,Apple Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jyoti Maheshwari,,Airbnb,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kalman Palagyi,,University of Szeged,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kalyan Chakravarthy Thatikonda,,Salesforce.com,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kamal Nyaupane,,Western New Mexico University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kapil Mehrotra,,C-DAC,India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Karan Jain Singh,,Apple,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Karanveer Singh Gondara,,LinkedIn,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Karthik Chakravarthy Cheekuri,,Microsoft,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Karthikeyan Selvarajan,,Zscaler Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kaushik Nagaraj,, Meta Platforms Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kaushik Roy,, WBSU,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kavita V Houde,,Central University of Karnataka,India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kedarnath Goud Kothinti,,AvidXchange INC,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kiran Vishwanath Houde,, Bits Pilani,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kiran Phalke,,Solapur Univeristy,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kiran Kumar Reddy Pamuru,,Google Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kishore Reddi Gaddam,,Fidelity Investments,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kishu Gupta,,National Sun Yat-sen University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,krati Rastogi Gupta,,Amity University,Nodia
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Krishna Dornala,,Resource Logistics Inc.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Krishna Chaitanya Yarlagadda,, Mercury Financial,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kumar Kanti Ghosh,,Apple Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Lavanya Srinivasan,,University of West London,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Lokendra Singh Kushwah,,Walmart Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Lorenzo Putzu,,University of Cagliari,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Lubna Aziz,,Iqra University, Pakistan
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Madhu Arora,Symbiosis Institute of Computer Studies and Research, Symbiosis International (Deemed University),
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mahadev K. Patil,,"R. V. University, Bengaluru",India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mahesh Babu Jalukuri,, IT Convergence,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mallikarjunaswamy M S,,"Sri Jayachamarajendra College of Engineering, JSSSTU, Mysuru",
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Mandar Nikhil Shinde,, AG Patil,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,"Manichandrabhooshan Sajjanapu, ",,,Finra
